,id,title,link,date,indieners (leden),indieners (partijen),PVV,GroenLinks-PvdA,VVD,NSC,D66,BBB,CDA,SP,ChristenUnie,DENK,PvdD,SGP,FVD,Volt,JA21,moties_volledig
497.0,2023D43744,Gewijzigde motie van het lid Van Esch c.s. over de effecten op gezondheid en milieu van de verschillende toekomstscenario's van Tata Steel alsnog onafhankelijk en transparant in beeld brengen (t.v.v. 30175-425),/kamerstukken/moties/detail?id=2023Z18098&did=2023D43744,24 oktober 2023,[],[],1,1,-1,1,1,-1,1,1,1,1,1,-1,-1,1,1,"verzoekt de regering alsnog de effecten op gezondheid en milieu van de verschillende toekomstscenario’s van Tata Steel onafhankelijk en transparant in beeld te brengen, waaronder ook recycling en het afschalen van de fabriek,"
498.0,2023D43731,Gewijzigde motie van de leden Van Esch en Bouchallikh over voor het volgende stookseizoen handhaafbare normen ontwikkelen voor houtstook (t.v.v. 36200-XII-77),/kamerstukken/moties/detail?id=2023Z18093&did=2023D43731,24 oktober 2023,[],[],-1,1,-1,-1,1,-1,-1,-1,1,-1,1,1,-1,1,-1,"verzoekt de regering voor het volgende stookseizoen (2024/2025) handhaafbare normen te (laten) ontwikkelen,"
499.0,2023D43746,Gewijzigde motie van het lid Van Esch over in de uitvoeringsagenda 2024-2030 van het Schone Lucht Akkoord een vooruitstrevend reductiedoel voor houtstook opnemen (t.v.v. 30175-406),/kamerstukken/moties/detail?id=2023Z18099&did=2023D43746,24 oktober 2023,[],[],-1,1,-1,1,1,-1,1,-1,1,-1,1,1,-1,1,-1,"verzoekt de regering om in de uitvoeringsagenda 2024–2030 van het Schone Lucht Akkoord voor houtstook een vooruitstrevend reductiedoel op te nemen,"
500.0,2023D43369,Gewijzigde motie van de leden Ouwehand en Akerboom over de intrinsieke waarde van wilde dieren (t.v.v. 33400-XIII-117),/kamerstukken/moties/detail?id=2023Z17970&did=2023D43369,24 oktober 2023,[],[],1,1,-1,-1,1,-1,-1,1,1,1,1,-1,-1,1,-1,"verzoekt de regering , de intrinsieke waarde van wilde dieren op te nemen in de wet natuurbescherming/omgevingswet,"
501.0,2023D43585,Gewijzigde motie van de leden Temmink en Van Nispen over stoppen met procederen in bestuursrechtelijke zaken tegen burgers die eerder in het gelijk zijn gesteld (t.v.v. 31753-280),/kamerstukken/moties/detail?id=2023Z18043&did=2023D43585,24 oktober 2023,[],[],1,1,-1,-1,1,1,-1,1,1,1,1,1,1,1,-1,"verzoekt de regering , per direct te stoppen met het procederen in bestuursrechtelijke zaken die lopen tegen burgers die eerder in het gelijk zijn gesteld,"
502.0,2023D43582,Gewijzigde motie van het lid Westerveld c.s. over vrijspelen van inspecteurs voor de gehandicaptenzorg zodat toezicht gehouden kan worden op alle intramurale gehandicaptenzorg en PGB-wooninitiatieven (t.v.v. 24170-296),/kamerstukken/moties/detail?id=2023Z18039&did=2023D43582,24 oktober 2023,[],[],1,1,-1,1,-1,1,1,1,1,1,1,1,1,1,1,verzoekt de regering inspecteurs van de IGJ vrij te spelen zodat er proactief en regelmatig toezicht gehouden kan worden op alle intramurale gehandicaptenzorg en PGB-wooninitiatieven;
503.0,2023D43824,Gewijzigde motie van de leden Temmink en Mutluer over een nader onderzoek naar de rol van het familie- en jeugdrecht bij fysiek en psychisch geweld (t.v.v. 28345-273),/kamerstukken/moties/detail?id=2023Z18129&did=2023D43824,24 oktober 2023,[],[],1,1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,"verzoekt de regering nader onderzoek te doen naar de rol van het familie- en jeugdrecht bij fysiek en psychisch geweld, waarbij nadrukkelijk aandacht wordt besteed aan de ervaringen van familierechtadvocaten, ouders, kinderen en slachtoffers van fysiek en psychisch geweld,"
504.0,2023D43371,Gewijzigde motie van de leden Ouwehand en Akerboom over recht op natuur en een gezonde leefomgeving (t.v.v. 33400-XIII-118),/kamerstukken/moties/detail?id=2023Z17975&did=2023D43371,24 oktober 2023,[],[],-1,1,-1,-1,1,-1,-1,1,1,1,1,-1,-1,1,-1,"verzoekt de regering , het recht op natuur en een gezonde leefomgeving, zoals opgenomen in de Grondwet op te nemen in de omgevingswet,"
505.0,2023D43201,Gewijzigde motie van het lid Van der Plas over onderzoek naar de Zweedse wetgeving voor gehandicapten (t.v.v. 24170-294),/kamerstukken/moties/detail?id=2023Z17884&did=2023D43201,24 oktober 2023,[],[],-1,1,-1,1,1,1,1,1,1,1,1,1,-1,1,1,"verzoekt de regering , een onderzoek uit te voeren naar de Zweedse wetgeving voor gehandicapten en hierover met de Zweedse overheid te overleggen; verzoekt de regering, de resultaten van dit onderzoek binnen een termijn van twaalf maanden aan de Kamer te rapporteren, vergezeld met een plan van aanpak voor eventuele aanpassingen van de Nederlandse wetgeving."
506.0,2023D43200,Gewijzigde motie van de leden Van Haga en Smolders over het schrappen van de verkennersfase (t.v.v. 35788-225),/kamerstukken/moties/detail?id=2023Z17882&did=2023D43200,24 oktober 2023,[],[],-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"verzoekt de Kamer de verkennersfase bij de formatie van een nieuw kabinet te schrappen en het initiatief voor onderhandeling en coalitie-vorming aan de grootste partij te laten,"
507.0,2023D43329,Gewijzigde motie van het lid Wassenberg over toekomstige nieuwe eigenaren van honden verplichten om een cursus bij een erkende instelling te volgen (t.v.v. 35892-24),/kamerstukken/moties/detail?id=2023Z17958&did=2023D43329,24 oktober 2023,[],[],-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,"verzoekt de regering om toekomstige nieuwe eigenaren van honden verplicht een cursus te laten volgen bij een erkende instelling; verzoekt de regering tevens te onderzoeken of mensen met onvoldoende financiële draagkracht hiervoor deels vergoed kunnen worden,"
508.0,2023D43828,Gewijzigde motie van de leden Beckerman en Nijboer over de waardevermeerderingsregel open laten staan tot 2025 en ook nieuwe groepen daarvoor in aanmerking laten komen (t.v.v. 33529-1180),/kamerstukken/moties/detail?id=2023Z18132&did=2023D43828,24 oktober 2023,[],[],1,1,-1,1,-1,1,-1,1,1,1,1,1,1,1,1,"verzoekt de regering de waardevermeerderingsregeling open te laten staan tot februari 2025, en ondernemers, kerken en andere maatschappe-lijke instellingen ook in aanmerking te laten komen,"
509.0,2023D44059,Motie van het lid Hans Teunissen c.s. over mbo-studenten meer medezeggenschap geven over hun eigen onderwijs,/kamerstukken/moties/detail?id=2023Z18233&did=2023D44059,24 oktober 2023,['Lisa Westerveld'],['GroenLinks'],1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"verzoekt de regering mbo-studenten meer medezeggenschap te geven over hun eigen onderwijs door formele taken en bevoegdheden van medezeggenschapsorganen op verschillende niveaus in het mbo zoveel mogelijk gelijk te trekken met het hbo en wo, en daarbij rekening te houden met de sectorspecifieke structuur,"
510.0,2023D43002,Gewijzigde motie van de leden Ellian en Verkuijlen over bevorderen dat gemeenten middelen en capaciteit vrijmaken om jeugdboa's in te zetten (t.v.v. 36261-7),/kamerstukken/moties/detail?id=2023Z17737&did=2023D43002,24 oktober 2023,[],[],1,1,1,-1,1,1,1,-1,1,1,1,-1,-1,1,1,"verzoekt de regering te bevorderen dat gemeenten middelen en capaciteit vrijmaken om jeugdboa’s in te zetten en ervoor te zorgen dat de jeugdboa voldoende bevoegd is om een effectieve bijdrage te kunnen leveren in de aanpak van aanwas van jongeren in de criminaliteit; verzoekt de regering de Kamer vanaf juni 2024 jaarlijks te informeren over het aantal jeugdboa’s verdeeld over de gemeenten en over de bevoegd-heden die de jeugdboa’s in de verschillende gemeenten hebben, en indien deze gegevens voor de regering niet beschikbaar zijn ze op te vragen via de VNG,"
511.0,2023D44063,Motie van het lid Westerveld over vrijstellingen voor extracurriculaire activiteiten voor minderjarige mbo-studenten en mbo-studenten zonder startkwalificatie,/kamerstukken/moties/detail?id=2023Z18235&did=2023D44063,24 oktober 2023,['Lisa Westerveld'],['GroenLinks'],1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,"verzoekt de regering om te onderzoeken hoe het ook voor deze groep studenten mogelijk kan worden gemaakt om vrijstellingen te verkrijgen,"
512.0,2023D42871,Gewijzigde motie van het lid Wassenberg over toewerken naar een gezamenlijke trainingsschool voor overheidshonden (t.v.v. 28286-1178),/kamerstukken/moties/detail?id=2023Z17669&did=2023D42871,24 oktober 2023,[],[],1,1,-1,1,-1,-1,-1,1,-1,1,1,1,-1,1,1,"verzoekt de regering , toe te werken naar een gezamenlijke trainingsschool voor overheidshonden, en de Kamer hierover zo spoedig mogelijk te informeren,"
513.0,2023D43599,Gewijzigde motie van het lid Hammelburg c.s. over na inwerkingtreding van de tijdelijke wet een uitvoeringstoets uitvoeren die ziet op de balans tussen passende waarborgen en effectieve taakuitvoering (t.v.v. 36263-25),/kamerstukken/moties/detail?id=2023Z18051&did=2023D43599,24 oktober 2023,[],[],1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"verzoekt het kabinet één jaar na inwerkingtreding van de tijdelijke wet een invoeringstoets uit te voeren die ziet op de balans tussen passende waarborgen en effectieve taakuitvoering,"
514.0,2023D43255,Gewijzigde motie van het lid Beckerman c.s. over de problemen rondom Marenland samen met huurders inventariseren en de corporaties waar nodig financieel ondersteunen (t.v.v. 33529-1179),/kamerstukken/moties/detail?id=2023Z17904&did=2023D43255,24 oktober 2023,[],[],1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,"verzoekt de regering de problemen niet te verplaatsen maar te helpen oplossen door de problemen, met huurders en anderen, te inventariseren en de corporaties waar nodig financieel te ondersteunen,"
515.0,2023D44056,Motie van de leden Pouw-Verweij en El Yassini over het monitoren van het beheersingsniveau van basisvaardigheden in het mbo,/kamerstukken/moties/detail?id=2023Z18231&did=2023D44056,24 oktober 2023,[],[],1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"verzoekt de regering om in het eerste kwartaal van 2024 de Kamer te voorzien van gegevens uit een eerste monitoring van het beheersings-niveau van basisvaardigheden in het mbo; verzoekt de regering tevens de Kamer hierna periodiek te informeren over de voortgang van het monitoren,"
516.0,2023D44046,Motie van de leden Kwint en Westerveld over bindende afspraken om jongeren zonder startkwalificatie verplicht een leer-werktraject aan te bieden,/kamerstukken/moties/detail?id=2023Z18225&did=2023D44046,24 oktober 2023,['Lisa Westerveld'],['GroenLinks'],-1,1,1,1,1,-1,1,1,1,1,1,1,-1,1,1,"verzoekt de regering om in overleg met het bedrijfsleven te komen tot bindende afspraken om een jongere zonder startkwalificatie verplicht een leer-werktraject aan te bieden, teneinde zogenoemde groenpluk te voorkomen,"
517.0,2023D44104,Motie van het lid Brekelmans c.s. over in Europees verband pleiten voor tijd- en plaatsgebonden humanitaire pauzes om humanitaire corridors tot Gaza te faciliteren,/kamerstukken/moties/detail?id=2023Z18264&did=2023D44104,24 oktober 2023,"['Ruben Brekelmans', 'Harmen Krul', 'Don Ceder']","['VVD', 'CDA', 'ChristenUnie']",-1,-1,1,1,-1,1,1,-1,1,-1,-1,1,1,-1,1,"verzoekt de regering tijdens de EU-top nogmaals het recht op zelfverde-diging van Israël te benadrukken; verzoekt de regering in Europees verband te pleiten voor tijd- en plaatsgebonden humanitaire pauzes om humanitaire corridors tot Gaza te faciliteren,     "
518.0,2023D44100,Motie van de leden Dassen en Jasper van Dijk over Israël oproepen om zich te houden aan resolutie 2417 van de VN-Veiligheidsraad,/kamerstukken/moties/detail?id=2023Z18260&did=2023D44100,24 oktober 2023,['Laurens Dassen'],['Volt'],-1,1,-1,-1,1,-1,-1,1,-1,1,1,-1,1,1,-1,"verzoekt de regering om Israël, al dan niet in Europees verband, op te roepen zich te houden aan resolutie 2417 van de VN-Veiligheidsraad ten aanzien van het verbod op uithongering als oorlogsmiddel,"
519.0,2023D44105,"Motie van de leden Brekelmans en Ellian over zich inzetten voor een krachtige Europese verklaring tegen antisemitisme, bedreiging en intimidatie van de Joodse gemeenschap in Europa",/kamerstukken/moties/detail?id=2023Z18265&did=2023D44105,24 oktober 2023,"['Ruben Brekelmans', 'Ulysse Ellian']","['VVD', 'VVD']",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"verzoekt de regering zich in te zetten voor een krachtige Europese verklaring tegen antisemitisme, bedreiging en intimidatie van de Joodse gemeenschap in Europa,"
520.0,2023D44101,Motie van het lid Dassen over de mogelijkheden onderzoeken voor een VN-vredesmissie,/kamerstukken/moties/detail?id=2023Z18261&did=2023D44101,24 oktober 2023,['Laurens Dassen'],['Volt'],-1,1,-1,-1,-1,-1,-1,1,-1,1,1,-1,-1,1,-1,"verzoekt de regering om via Frankrijk in de VN-Veiligheidsraad, dan wel in breder Europees verband de mogelijkheden te onderzoeken voor een VN-vredesmissie, zodat de veiligheid van burgers gegarandeerd kan worden, de rust kan terugkeren en er op termijn over een duurzame oplossing gesproken kan worden,"
521.0,2023D44114,Motie van de leden Sylvana Simons en Van Baarle over bij de Europese top aandringen op opschorting van het associatieverdrag met Israël,/kamerstukken/moties/detail?id=2023Z18274&did=2023D44114,24 oktober 2023,['Stephan van Baarle'],['DENK'],-1,-1,-1,-1,-1,-1,-1,1,-1,1,1,-1,-1,-1,-1,"verzoekt de regering om bij de Europese top aan te dringen op opschorting van het associatieverdrag met Israël,"
522.0,2023D44111,Motie van het lid Eerdmans c.s. over uitspreken dat er in de Kamer geen plek is voor Jodenhaat,/kamerstukken/moties/detail?id=2023Z18271&did=2023D44111,24 oktober 2023,['Joost Eerdmans'],['JA21'],1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,"spreekt uit dat in de Kamer geen plek is voor Jodenhaat,"
523.0,2023D44115,Motie van de leden Sylvana Simons en Van Baarle over pleiten voor een tribunaal voor vervolging van oorlogsmisdaden gepleegd door het Israëlische regime,/kamerstukken/moties/detail?id=2023Z18275&did=2023D44115,24 oktober 2023,['Stephan van Baarle'],['DENK'],-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,"verzoekt de regering om een speciaal tribunaal te bepleiten voor het vervolgen van oorlogsmisdaden gepleegd door het Israëlische regime,"
524.0,2023D44108,Motie van de leden Van Haga en Eerdmans over inzetten op het niet verhogen van het Meerjarig Financieel Kader van de EU,/kamerstukken/moties/detail?id=2023Z18268&did=2023D44108,24 oktober 2023,['Joost Eerdmans'],['JA21'],1,-1,-1,1,-1,1,-1,1,-1,-1,1,1,1,-1,1,"verzoekt de regering in te zetten op het niet verhogen van het Meerjarig Financieel Kader van de EU,"
525.0,2023D44107,Motie van het lid Van Haga over de humane noden van de Nederlandse bevolking prioriteren,/kamerstukken/moties/detail?id=2023Z18267&did=2023D44107,24 oktober 2023,[],[],1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,"verzoekt de regering de humane noden van de Nederlandse bevolking te prioriteren en de Nederlandse inzet bij de Europese top in lijn te brengen met het belang van Nederland,"
526.0,2023D44097,Motie van het lid Jasper van Dijk c.s. over de druk op Israël opvoeren opdat het oorlogsgeweld tegen Gaza stopt,/kamerstukken/moties/detail?id=2023Z18257&did=2023D44097,24 oktober 2023,"['Laurens Dassen', 'Christine Teunissen']","['Volt', 'PvdD']",-1,1,-1,-1,-1,-1,-1,1,-1,1,1,-1,-1,1,-1,"verzoekt de regering met gelijkgestemde landen de druk op Israël op te voeren opdat het oorlogsgeweld tegen Gaza stopt,"
527.0,2023D44099,"Motie van de leden Jasper van Dijk en Christine Teunissen over overgaan tot erkenning van een Palestijnse staat in de Gazastrook, de Westelijke Jordaanoever en Oost-Jeruzalem",/kamerstukken/moties/detail?id=2023Z18259&did=2023D44099,24 oktober 2023,['Christine Teunissen'],['PvdD'],-1,1,-1,-1,1,-1,-1,1,-1,1,1,-1,-1,1,-1,"verzoekt de regering om naast de erkenning van Israël over te gaan tot erkenning van een Palestijnse staat in de Gazastrook, de Westelijke Jordaanoever en Oost-Jeruzalem,"
528.0,2023D44096,Motie van de leden Sjoerdsma en Piri over zich inzetten voor een humanitair staakt-het-vuren,/kamerstukken/moties/detail?id=2023Z18256&did=2023D44096,24 oktober 2023,['Kati Piri'],['PvdA'],-1,1,-1,-1,1,-1,-1,1,-1,1,1,-1,1,1,-1,"verzoekt het kabinet om zich (in Europees verband) in te zetten voor een staakt-het-vuren zodat ongehinderd humanitaire hulp kan worden geboden en gezocht kan worden naar mogelijkheden om gegijzelden vrij te krijgen,"
529.0,2023D44112,Motie van de leden Sylvana Simons en Van Baarle over het opschorten van alle militaire handel en samenwerking met Israël,/kamerstukken/moties/detail?id=2023Z18272&did=2023D44112,24 oktober 2023,['Stephan van Baarle'],['DENK'],-1,-1,-1,-1,-1,-1,-1,1,-1,1,1,-1,-1,-1,-1,"verzoekt de regering om alle militaire handel en samenwerking met Israël op te schorten zodat het zeker is dat Nederland nu niet bijdraagt aan het schenden van mensenrechten en humanitair oorlogsrecht,"
530.0,2023D44083,Motie van het lid Westerveld over besturen verplichten te laten zien hoe de medezeggenschap vanaf het begin betrokken is bij onderwijsvernieuwingen,/kamerstukken/moties/detail?id=2023Z18246&did=2023D44083,24 oktober 2023,['Lisa Westerveld'],['GroenLinks'],1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,"verzoekt de regering om besturen te verplichten om specifiek bij onder-wijsvernieuwingen te laten zien hoe medezeggenschap vanaf het begin is betrokken en om dat mee te nemen in het accreditatiekader,"
531.0,2023D44110,"Motie van het lid Eerdmans c.s. over uitspreken dat de leus ""Palestina vrij van de rivier tot aan de zee"" vernietiging van de staat Israël propageert en derhalve een oproep tot geweld is",/kamerstukken/moties/detail?id=2023Z18270&did=2023D44110,24 oktober 2023,['Joost Eerdmans'],['JA21'],1,-1,1,1,-1,1,1,-1,1,-1,-1,1,-1,-1,1,"spreekt uit dat deze leus vernietiging van de staat Israël propageert en derhalve een oproep tot geweld is,"
532.0,2023D44113,Motie van de leden Sylvana Simons en Van Baarle over uitspreken de nederzettingenpolitiek te veroordelen,/kamerstukken/moties/detail?id=2023Z18273&did=2023D44113,24 oktober 2023,['Stephan van Baarle'],['DENK'],-1,1,-1,-1,1,-1,-1,1,-1,1,1,-1,-1,1,-1,"spreekt uit de nederzettingenpolitiek te veroordelen,"
533.0,2023D44081,Motie van het lid Kwint over komen tot een buiten de instelling gelegen plek om de slagingskans van een onderwijsvernieuwing te toetsen,/kamerstukken/moties/detail?id=2023Z18243&did=2023D44081,24 oktober 2023,[],[],1,1,-1,1,-1,-1,-1,1,-1,1,1,-1,1,1,1,"verzoekt de regering in samenspraak met al deze partijen te komen tot een buiten de instelling gelegen plek die de slagingskans van een onderwijs-vernieuwing zowel qua proces van draagvlak verzamelen als qua wetenschappelijke evidentie kan toetsen,"
534.0,2023D43762,Motie van het lid Van der Graaf c.s. over uitwerken hoe flankerend beleid kan worden vormgegeven zodat het uitdaagrecht ook in de praktijk goed uit de verf komt,/kamerstukken/moties/detail?id=2023Z18105&did=2023D43762,23 oktober 2023,[],[],-1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,"verzoekt de regering om in samenspraak met VNG, IPO, de Unie van Waterschappen, de openbare lichamen, het LSA, het Landelijk Samenwer-kingsverband Actieve bewoners, de LVKK, de Landelijke Vereniging voor Kleine Kernen, en de vertegenwoordigers van de jongerenraden uit te werken hoe flankerend beleid kan worden vormgegeven, zodat het uitdaagrecht ook in de praktijk goed uit de verf gaat komen,"
535.0,2023D43625,Motie van het lid Michon-Derkzen over inventariseren welke knelpunten gemeenten ervaren bij de samenwerking met de NCTV,/kamerstukken/moties/detail?id=2023Z18060&did=2023D43625,23 oktober 2023,['Ingrid Michon-Derkzen'],['VVD'],1,1,1,1,1,1,1,1,1,-1,1,1,-1,1,1,"verzoekt de regering via de VNG bij gemeenten te inventariseren wat hun ervaringen zijn met de NCTV, welke knelpunten zich in de praktijk voordoen bij de samenwerking met de NCTV, te bezien of de wet voldoende basis biedt om de knelpunten op te lossen, en de Kamer hierover te informeren begin 2024,"
536.0,2023D43624,Motie van de leden Mutluer en Sjoerdsma over een invoeringstoets met ten minste de vraag of de NCTV zijn coördinatietaak kan uitvoeren zonder de grenzen daarvan te overschrijden,/kamerstukken/moties/detail?id=2023Z18059&did=2023D43624,23 oktober 2023,['Songül Mutluer'],['PvdA'],1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,"verzoekt de regering één jaar na inwerkingtreding van de voorliggende wet een invoeringstoets uit te voeren die ten minste ingaat op de vraag of de NCTV de coördinatietaak naar behoren kan uitvoeren zonder dat daarbij de grenzen van die taak overschreden worden,"
537.0,2023D43175,Motie van het lid Peter de Groot c.s. over het afsluiten van bouwakkoorden om belemmeringen voor bouwprojecten weg te nemen,/kamerstukken/moties/detail?id=2023Z17858&did=2023D43175,19 oktober 2023,"['Peter de Groot', 'Pieter Grinwis', 'Inge van Dijk']","['VVD', 'ChristenUnie', 'CDA']",1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,"verzoekt de regering bouwakkoorden te sluiten met partijen die bouwen waarbij belemmeringen uit de praktijk worden weggenomen,"
538.0,2023D43302,Motie van het lid Van Baarle over het halfstok hangen van de Palestijnse vlag ter nagedachtenis van de Palestijnse burgerslachtoffers,/kamerstukken/moties/detail?id=2023Z17935&did=2023D43302,19 oktober 2023,['Stephan van Baarle'],['DENK'],-1,1,-1,-1,1,-1,-1,1,-1,1,-1,-1,-1,-1,-1,"verzoekt de regering om ter nagedachtenis van de Palestijnse burger-slachtoffers de Palestijnse vlag halfstok te hangen,"
539.0,2023D43287,Motie van het lid Hans Teunissen c.s. over het recht op begrijpelijke taal en duidelijke uitleg van besluiten vastleggen in de wet,/kamerstukken/moties/detail?id=2023Z17920&did=2023D43287,19 oktober 2023,['Inge van Dijk'],['CDA'],1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,"verzoekt de regering het recht op begrijpelijke taal en duidelijke uitleg van besluiten wettelijk vast te leggen,"
540.0,2023D43292,Motie van de leden Inge van Dijk en Van der Graaf over het structureel faciliteren van de Landelijke Vereniging voor Kleine Kernen,/kamerstukken/moties/detail?id=2023Z17925&did=2023D43292,19 oktober 2023,['Inge van Dijk'],['CDA'],1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"verzoekt de regering te onderzoeken op welke wijze de Landelijke Vereniging voor Kleine Kernen het best structureel gefaciliteerd kan worden, zodat zij in staat is de belangen van kleine dorpskernen, dorpsverenigingen en dorpshuizen op landelijk niveau te behartigen,"
541.0,2023D43296,Motie van het lid Van Meijeren over geen bemoeienis van de regering met wat mensen zeggen of schrijven zolang het niet in strijd is met de wet,/kamerstukken/moties/detail?id=2023Z17929&did=2023D43296,19 oktober 2023,['Gideon van Meijeren'],['FVD'],1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,1,"roept de regering op zich niet langer te bemoeien met wat mensen zeggen of schrijven, zolang het niet in strijd is met de wet,"
542.0,2023D43301,Motie van het lid Van Baarle over het wettelijk verbieden van koranverbrandingen en -verscheuringen,/kamerstukken/moties/detail?id=2023Z17934&did=2023D43301,19 oktober 2023,['Stephan van Baarle'],['DENK'],-1,1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,"verzoekt de regering om koranverbrandingen en -verscheuringen wettelijk te verbieden en dit toe te passen op alle ongepaste aanvallen op voorwerpen van religieuze verering, conform Europese jurisprudentie,"
543.0,2023D43300,Motie van het lid Van Baarle over het instellen van een nationaal coördinator moslimhaatbestrijding,/kamerstukken/moties/detail?id=2023Z17933&did=2023D43300,19 oktober 2023,['Stephan van Baarle'],['DENK'],-1,1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,"verzoekt de regering om een nationaal coördinator moslimhaatbestrijding in te stellen,"
544.0,2023D43297,"Motie van het lid Bisschop over in de verdere uitwerking van de kabinetsvisie op het advies ""Elke regio telt!"" ruim aandacht geven aan versterking van regionale economieën",/kamerstukken/moties/detail?id=2023Z17930&did=2023D43297,19 oktober 2023,[],[],1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"verzoekt de regering om in de verdere uitwerking van de kabinetsvisie op het advies «Elke regio telt!» ruim aandacht te geven aan versterking van regionale economieën en hoe dat te realiseren; verzoekt de regering om in de kabinetsvisie tevens aan te geven hoe departementale budgetten meer in samenhang kunnen worden ingezet ten behoeve van brede welvaart in de regio’s,"
545.0,2023D43299,Motie van het lid Van Baarle over het wettelijk vastleggen van de functie van Nationaal Coördinator tegen Discriminatie en Racisme,/kamerstukken/moties/detail?id=2023Z17932&did=2023D43299,19 oktober 2023,['Stephan van Baarle'],['DENK'],-1,1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,1,-1,"verzoekt de regering om de functie van Nationaal Coördinator tegen Discriminatie en Racisme wettelijk vast te leggen naar het voorbeeld van de deltacommissaris,"
546.0,2023D43198,Motie van het lid Van Haga over woningcorporaties aanmoedigen om woningen te verkopen aan zittende huurders om zo kapitaal vrij te maken om nieuwe sociale woningen te bouwen,/kamerstukken/moties/detail?id=2023Z17880&did=2023D43198,19 oktober 2023,[],[],1,-1,1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,1,"verzoekt de regering om woningcorporaties aan te moedigen om woningen te verkopen aan zittende huurders om op die manier kapitaal vrij te maken om nieuwe sociale woningen te bouwen,"
547.0,2023D43295,Motie van het lid Grinwis c.s. over uitwerken hoe in continuering van de Jettengelden voor politieke partijen kan worden voorzien,/kamerstukken/moties/detail?id=2023Z17928&did=2023D43295,19 oktober 2023,"['Pieter Grinwis', 'Joost Eerdmans', 'Christine Teunissen', 'Laura Bromet', 'Stephan van Baarle', 'Marieke Koekkoek', 'Inge van Dijk']","['ChristenUnie', 'JA21', 'PvdD', 'GroenLinks', 'DENK', 'Volt', 'CDA']",-1,1,1,1,1,1,1,-1,1,1,1,1,-1,1,1,"verzoekt de regering ten behoeve van de aankomende kabinetsformatie en in aanloop naar de begroting voor 2025 uit te werken hoe alsnog in continuering van de Jettengelden voor politieke partijen kan worden voorzien,"
548.0,2023D43199,Motie van het lid Van Haga over maatregelen om het voor woningeigenaren aantrekkelijker te maken om hun woningen te blijven verhuren in plaats van te verkopen,/kamerstukken/moties/detail?id=2023Z17881&did=2023D43199,19 oktober 2023,[],[],-1,-1,1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,1,"verzoekt de regering om maatregelen te treffen die het voor woningeige-naren aantrekkelijker maken om hun woningen te blijven verhuren in plaats van te verkopen,"
549.0,2023D43288,Motie van de leden Sneller en Rahimi over het verzoek aan het Presidium om in overleg met de Eerste Kamer te komen tot structurele financiering van Parlement.com,/kamerstukken/moties/detail?id=2023Z17921&did=2023D43288,19 oktober 2023,['Joost Sneller'],['D66'],1,1,1,1,1,1,1,-1,1,1,1,1,-1,1,1,"verzoekt het Presidium in overleg met de Eerste Kamer tot een gezamenlijk voorstel te komen om de begroting van de Staten-Generaal aan te passen, waardoor er in 2024 incidenteel € 235.000 en vanaf 2025 structureel € 300.000 gereserveerd wordt voor instandhouding van Parlement.com, en de Tweede Kamer hierover tijdig te informeren, zodat deze wijziging nog in de begroting van 2024 kan worden verwerkt,"
550.0,2023D43291,Motie van het lid Nijboer over het nakomen van de belofte van het kabinet om mensen met een arbeidsbeperking in dienst te nemen,/kamerstukken/moties/detail?id=2023Z17924&did=2023D43291,19 oktober 2023,[],[],1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"verzoekt het kabinet in actie te komen en als de wiedeweerga ervoor te zorgen dat het zijn eigen beloftes op dit terrein waarmaakt,"
