moties_small,id,moties_volledig
479,2023D44395,"verzoekt de regering om de eigen bijdrage voor de kraamzorg af te schaffen,"
480,2023D44396,"verzoekt de regering te onderzoeken wat de oorzaak en achtergrond is van de sterke stijging van het aantal abortussen en beleid te formuleren dat het aantal abortussen doet dalen,"
481,2023D44415,"verzoekt de regering om er zorg voor te dragen dat voordat er onomkeerbare stappen worden gezet in de afschaling van de kinder-hartzorg duidelijkheid is over de mitigerende maatregelen voor het LUMC en het UMC Utrecht en deze centra hier expliciet bij te betrekken,"
482,2023D44416,"verzoekt de regering om uiterlijk in maart 2024 de genoemde motie-Van der Plas versneld uit te voeren en de Kamer te informeren over de uitkomsten, zodat duidelijk wordt of het concentratiebesluit te verenigen is met onder meer het behoud van de kinder-ic in het LUMC; verzoekt de regering om uiterlijk in maart 2024 de motie van Den Haan versneld uit te voeren en de Kamer te informeren over de uitkomsten, zodat duidelijk is dat de hoogspecialistische ketenzorg voor kinderen met kinderkanker niet wordt verbroken; verzoekt de regering hierna pas te beginnen met de transitieperiode van tweeëneenhalf jaar"
483,2023D44413,"verzoekt de regering om te onderzoeken wat deze nieuwe wetenschappe-lijke inzichten en normen betekenen voor de onderbouwing van het besluit om de kinderhartchirurgie te concentreren naar twee centra,"
484,2023D44392,"verzoekt de regering er zorg voor te dragen dat pijlers één en twee van de Aanpak onbedoelde en ongewenste zwangerschap ook voorlichting bevatten over de mogelijke psychologische en emotionele gevolgen van een abortus, waaronder abortusspijt,"
485,2023D44402,"verzoekt de regering bij het maken en publiceren van de IZA-monitoring niet meer dan vijf kernindicatoren te formuleren; spreekt uit dat de Kamer in aanvulling daarop elk halfjaar een gesprek, hoorzitting of briefing organiseert met zorgprofessionals en -bestuurders uit de praktijk om daadwerkelijk voeling te krijgen met de realiteit achter de cijfers van de kernindicatoren,"
486,2023D44399,"verzoekt de regering te bewerkstelligen dat het niet vergoeden van «niet bewezen» effectieve behandelingen wordt vervangen voor het niet vergoeden van «bewezen niet» effectieve behandelingen; verzoekt de regering tevens te bewerkstelligen dat als een behandeling voor een relatief klein deel van de patiëntenpopulatie bewezen effectief is, deze niet wordt aangemerkt als onvoldoende bewezen effectief en voortaan wel beschikbaar komt voor de patiënten voor wie het wel werkt,"
487,2023D44403,"verzoekt de regering de boetes voor wetsovertredingen door tabaksfabri-kanten en tabaksverkopers fors te verhogen; verzoekt de regering om de opbrengsten hiervan te gebruiken om jongeren te helpen met het stoppen met roken en vapen,"
488,2023D44401,"verzoekt de regering de institutionele partijen zoals het Zorginstituut en de Nederlandse Zorgautoriteit de opdracht te geven de richting naar passende zorg te versnellen door: •het Zorginstituut de opdracht te geven passende zorg zo veel mogelijk herkenbaar op te nemen in de aanspraken; •betaaltitels informatie te laten bevatten die nodig is om te bepalen of de zorg voldoet aan de stand van de wetenschap en praktijk, passende zorg en passende praktijken,"
489,2023D44404,"verzoekt de regering de regie te nemen, voor 1 januari 2024 met de betrokken zorgpartijen gerichte afspraken te maken over investeringen in de wijkverpleging en de Kamer hierover te informeren; verzoekt de regering tevens de NZa toezicht te laten houden op de naleving van deze afspraken zodat de onderbesteding in 2024 in ieder geval afneemt,"
490,2023D44109,"verzoekt de regering niet akkoord te gaan met enig voorstel dat een detectiebevel op basis van client-side scanning bevat,"
491,2023D44095,"verzoekt het kabinet álle schendingen van het internationaal recht duidelijk te veroordelen en tegen te gaan,"
492,2023D44058,"verzoekt het kabinet de referentieniveaus beter en sneller te laten aansluiten bij de onderwijspraktijk, en de Kamer te informeren op welke wijze dat kan gebeuren,"
493,2023D43740,"verzoekt de regering om, als blijkt dat er een mogelijkheid is, een nationaal verbod in te stellen op sigarettenfilters,"
494,2023D43813,"verzoekt de regering een haalbaarheidsstudie uit te voeren naar de mogelijkheid om een regionale ontwikkelingsmaatschappij in het Caribisch deel van het Koninkrijk op te richten, die zich toespitst op lokale business development ten aanzien van digitalisering, klimaat, duurzame landbouw en het (regionale) ondernemingsklimaat en de Kamer voor de zomer van 2024 te infomeren over de uitkomsten;"
495,2023D43734,"verzoekt de regering in navolging van Frankrijk ervoor te zorgen dat supermarkten met meer dan 400 vierkante meter oppervlakte hun klanten uiterlijk in 2030 moeten gaan voorzien van refill-mogelijkheden,"
496,2023D43748,"verzoekt de regering een landelijke informatiecampagne te starten waarmee het verkrijgen van tweedehands kleding actief wordt gestimu-leerd en hierbij in ieder geval actief kringlopen en kledingbibliotheken te betrekken,"
497,2023D43744,"verzoekt de regering alsnog de effecten op gezondheid en milieu van de verschillende toekomstscenario’s van Tata Steel onafhankelijk en transparant in beeld te brengen, waaronder ook recycling en het afschalen van de fabriek,"
498,2023D43731,"verzoekt de regering voor het volgende stookseizoen (2024/2025) handhaafbare normen te (laten) ontwikkelen,"
499,2023D43746,"verzoekt de regering om in de uitvoeringsagenda 2024–2030 van het Schone Lucht Akkoord voor houtstook een vooruitstrevend reductiedoel op te nemen,"
500,2023D43369,"verzoekt de regering , de intrinsieke waarde van wilde dieren op te nemen in de wet natuurbescherming/omgevingswet,"
501,2023D43585,"verzoekt de regering , per direct te stoppen met het procederen in bestuursrechtelijke zaken die lopen tegen burgers die eerder in het gelijk zijn gesteld,"
502,2023D43582,verzoekt de regering inspecteurs van de IGJ vrij te spelen zodat er proactief en regelmatig toezicht gehouden kan worden op alle intramurale gehandicaptenzorg en PGB-wooninitiatieven;
503,2023D43824,"verzoekt de regering nader onderzoek te doen naar de rol van het familie- en jeugdrecht bij fysiek en psychisch geweld, waarbij nadrukkelijk aandacht wordt besteed aan de ervaringen van familierechtadvocaten, ouders, kinderen en slachtoffers van fysiek en psychisch geweld,"
504,2023D43371,"verzoekt de regering , het recht op natuur en een gezonde leefomgeving, zoals opgenomen in de Grondwet op te nemen in de omgevingswet,"
505,2023D43201,"verzoekt de regering , een onderzoek uit te voeren naar de Zweedse wetgeving voor gehandicapten en hierover met de Zweedse overheid te overleggen; verzoekt de regering, de resultaten van dit onderzoek binnen een termijn van twaalf maanden aan de Kamer te rapporteren, vergezeld met een plan van aanpak voor eventuele aanpassingen van de Nederlandse wetgeving."
506,2023D43200,"verzoekt de Kamer de verkennersfase bij de formatie van een nieuw kabinet te schrappen en het initiatief voor onderhandeling en coalitie-vorming aan de grootste partij te laten,"
507,2023D43329,"verzoekt de regering om toekomstige nieuwe eigenaren van honden verplicht een cursus te laten volgen bij een erkende instelling; verzoekt de regering tevens te onderzoeken of mensen met onvoldoende financiële draagkracht hiervoor deels vergoed kunnen worden,"
508,2023D43828,"verzoekt de regering de waardevermeerderingsregeling open te laten staan tot februari 2025, en ondernemers, kerken en andere maatschappe-lijke instellingen ook in aanmerking te laten komen,"
509,2023D44059,"verzoekt de regering mbo-studenten meer medezeggenschap te geven over hun eigen onderwijs door formele taken en bevoegdheden van medezeggenschapsorganen op verschillende niveaus in het mbo zoveel mogelijk gelijk te trekken met het hbo en wo, en daarbij rekening te houden met de sectorspecifieke structuur,"
510,2023D43002,"verzoekt de regering te bevorderen dat gemeenten middelen en capaciteit vrijmaken om jeugdboa’s in te zetten en ervoor te zorgen dat de jeugdboa voldoende bevoegd is om een effectieve bijdrage te kunnen leveren in de aanpak van aanwas van jongeren in de criminaliteit; verzoekt de regering de Kamer vanaf juni 2024 jaarlijks te informeren over het aantal jeugdboa’s verdeeld over de gemeenten en over de bevoegd-heden die de jeugdboa’s in de verschillende gemeenten hebben, en indien deze gegevens voor de regering niet beschikbaar zijn ze op te vragen via de VNG,"
511,2023D44063,"verzoekt de regering om te onderzoeken hoe het ook voor deze groep studenten mogelijk kan worden gemaakt om vrijstellingen te verkrijgen,"
512,2023D42871,"verzoekt de regering , toe te werken naar een gezamenlijke trainingsschool voor overheidshonden, en de Kamer hierover zo spoedig mogelijk te informeren,"
513,2023D43599,"verzoekt het kabinet één jaar na inwerkingtreding van de tijdelijke wet een invoeringstoets uit te voeren die ziet op de balans tussen passende waarborgen en effectieve taakuitvoering,"
514,2023D43255,"verzoekt de regering de problemen niet te verplaatsen maar te helpen oplossen door de problemen, met huurders en anderen, te inventariseren en de corporaties waar nodig financieel te ondersteunen,"
515,2023D44056,"verzoekt de regering om in het eerste kwartaal van 2024 de Kamer te voorzien van gegevens uit een eerste monitoring van het beheersings-niveau van basisvaardigheden in het mbo; verzoekt de regering tevens de Kamer hierna periodiek te informeren over de voortgang van het monitoren,"
516,2023D44046,"verzoekt de regering om in overleg met het bedrijfsleven te komen tot bindende afspraken om een jongere zonder startkwalificatie verplicht een leer-werktraject aan te bieden, teneinde zogenoemde groenpluk te voorkomen,"
517,2023D44104,"verzoekt de regering tijdens de EU-top nogmaals het recht op zelfverde-diging van Israël te benadrukken; verzoekt de regering in Europees verband te pleiten voor tijd- en plaatsgebonden humanitaire pauzes om humanitaire corridors tot Gaza te faciliteren,     "
518,2023D44100,"verzoekt de regering om Israël, al dan niet in Europees verband, op te roepen zich te houden aan resolutie 2417 van de VN-Veiligheidsraad ten aanzien van het verbod op uithongering als oorlogsmiddel,"
519,2023D44105,"verzoekt de regering zich in te zetten voor een krachtige Europese verklaring tegen antisemitisme, bedreiging en intimidatie van de Joodse gemeenschap in Europa,"
520,2023D44101,"verzoekt de regering om via Frankrijk in de VN-Veiligheidsraad, dan wel in breder Europees verband de mogelijkheden te onderzoeken voor een VN-vredesmissie, zodat de veiligheid van burgers gegarandeerd kan worden, de rust kan terugkeren en er op termijn over een duurzame oplossing gesproken kan worden,"
521,2023D44114,"verzoekt de regering om bij de Europese top aan te dringen op opschorting van het associatieverdrag met Israël,"
522,2023D44111,"spreekt uit dat in de Kamer geen plek is voor Jodenhaat,"
523,2023D44115,"verzoekt de regering om een speciaal tribunaal te bepleiten voor het vervolgen van oorlogsmisdaden gepleegd door het Israëlische regime,"
524,2023D44108,"verzoekt de regering in te zetten op het niet verhogen van het Meerjarig Financieel Kader van de EU,"
525,2023D44107,"verzoekt de regering de humane noden van de Nederlandse bevolking te prioriteren en de Nederlandse inzet bij de Europese top in lijn te brengen met het belang van Nederland,"
526,2023D44097,"verzoekt de regering met gelijkgestemde landen de druk op Israël op te voeren opdat het oorlogsgeweld tegen Gaza stopt,"
527,2023D44099,"verzoekt de regering om naast de erkenning van Israël over te gaan tot erkenning van een Palestijnse staat in de Gazastrook, de Westelijke Jordaanoever en Oost-Jeruzalem,"
528,2023D44096,"verzoekt het kabinet om zich (in Europees verband) in te zetten voor een staakt-het-vuren zodat ongehinderd humanitaire hulp kan worden geboden en gezocht kan worden naar mogelijkheden om gegijzelden vrij te krijgen,"
529,2023D44112,"verzoekt de regering om alle militaire handel en samenwerking met Israël op te schorten zodat het zeker is dat Nederland nu niet bijdraagt aan het schenden van mensenrechten en humanitair oorlogsrecht,"
530,2023D44083,"verzoekt de regering om besturen te verplichten om specifiek bij onder-wijsvernieuwingen te laten zien hoe medezeggenschap vanaf het begin is betrokken en om dat mee te nemen in het accreditatiekader,"
531,2023D44110,"spreekt uit dat deze leus vernietiging van de staat Israël propageert en derhalve een oproep tot geweld is,"
532,2023D44113,"spreekt uit de nederzettingenpolitiek te veroordelen,"
533,2023D44081,"verzoekt de regering in samenspraak met al deze partijen te komen tot een buiten de instelling gelegen plek die de slagingskans van een onderwijs-vernieuwing zowel qua proces van draagvlak verzamelen als qua wetenschappelijke evidentie kan toetsen,"
534,2023D43762,"verzoekt de regering om in samenspraak met VNG, IPO, de Unie van Waterschappen, de openbare lichamen, het LSA, het Landelijk Samenwer-kingsverband Actieve bewoners, de LVKK, de Landelijke Vereniging voor Kleine Kernen, en de vertegenwoordigers van de jongerenraden uit te werken hoe flankerend beleid kan worden vormgegeven, zodat het uitdaagrecht ook in de praktijk goed uit de verf gaat komen,"
535,2023D43625,"verzoekt de regering via de VNG bij gemeenten te inventariseren wat hun ervaringen zijn met de NCTV, welke knelpunten zich in de praktijk voordoen bij de samenwerking met de NCTV, te bezien of de wet voldoende basis biedt om de knelpunten op te lossen, en de Kamer hierover te informeren begin 2024,"
536,2023D43624,"verzoekt de regering één jaar na inwerkingtreding van de voorliggende wet een invoeringstoets uit te voeren die ten minste ingaat op de vraag of de NCTV de coördinatietaak naar behoren kan uitvoeren zonder dat daarbij de grenzen van die taak overschreden worden,"
537,2023D43175,"verzoekt de regering bouwakkoorden te sluiten met partijen die bouwen waarbij belemmeringen uit de praktijk worden weggenomen,"
538,2023D43302,"verzoekt de regering om ter nagedachtenis van de Palestijnse burger-slachtoffers de Palestijnse vlag halfstok te hangen,"
539,2023D43287,"verzoekt de regering het recht op begrijpelijke taal en duidelijke uitleg van besluiten wettelijk vast te leggen,"
540,2023D43292,"verzoekt de regering te onderzoeken op welke wijze de Landelijke Vereniging voor Kleine Kernen het best structureel gefaciliteerd kan worden, zodat zij in staat is de belangen van kleine dorpskernen, dorpsverenigingen en dorpshuizen op landelijk niveau te behartigen,"
541,2023D43296,"roept de regering op zich niet langer te bemoeien met wat mensen zeggen of schrijven, zolang het niet in strijd is met de wet,"
542,2023D43301,"verzoekt de regering om koranverbrandingen en -verscheuringen wettelijk te verbieden en dit toe te passen op alle ongepaste aanvallen op voorwerpen van religieuze verering, conform Europese jurisprudentie,"
543,2023D43300,"verzoekt de regering om een nationaal coördinator moslimhaatbestrijding in te stellen,"
544,2023D43297,"verzoekt de regering om in de verdere uitwerking van de kabinetsvisie op het advies «Elke regio telt!» ruim aandacht te geven aan versterking van regionale economieën en hoe dat te realiseren; verzoekt de regering om in de kabinetsvisie tevens aan te geven hoe departementale budgetten meer in samenhang kunnen worden ingezet ten behoeve van brede welvaart in de regio’s,"
545,2023D43299,"verzoekt de regering om de functie van Nationaal Coördinator tegen Discriminatie en Racisme wettelijk vast te leggen naar het voorbeeld van de deltacommissaris,"
546,2023D43198,"verzoekt de regering om woningcorporaties aan te moedigen om woningen te verkopen aan zittende huurders om op die manier kapitaal vrij te maken om nieuwe sociale woningen te bouwen,"
547,2023D43295,"verzoekt de regering ten behoeve van de aankomende kabinetsformatie en in aanloop naar de begroting voor 2025 uit te werken hoe alsnog in continuering van de Jettengelden voor politieke partijen kan worden voorzien,"
548,2023D43199,"verzoekt de regering om maatregelen te treffen die het voor woningeige-naren aantrekkelijker maken om hun woningen te blijven verhuren in plaats van te verkopen,"
549,2023D43288,"verzoekt het Presidium in overleg met de Eerste Kamer tot een gezamenlijk voorstel te komen om de begroting van de Staten-Generaal aan te passen, waardoor er in 2024 incidenteel € 235.000 en vanaf 2025 structureel € 300.000 gereserveerd wordt voor instandhouding van Parlement.com, en de Tweede Kamer hierover tijdig te informeren, zodat deze wijziging nog in de begroting van 2024 kan worden verwerkt,"
550,2023D43291,"verzoekt het kabinet in actie te komen en als de wiedeweerga ervoor te zorgen dat het zijn eigen beloftes op dit terrein waarmaakt,"
551,2023D43286,"verzoekt de regering de weerbaarheidsscan alleen uit te voeren als deze daadwerkelijk bruikbaar is voor deze doelgroepen en het daarbij nadruk-kelijk de voorkeur verdient dat deze wetenschappelijk gevalideerd is door de wetenschappers die deze scan in eerste instantie hebben ontwikkeld,"
552,2023D43197,"verzoekt de regering om een heroverweging van de regulering, waarbij zowel de rentabiliteit van nieuwbouw als die van bestaande huurwo-ningen in overweging wordt genomen,"
553,2023D43195,"verzoekt de regering gemeenten te ondersteunen in het opstellen van pre-SMP’s met kennis en kunde, en hun de mogelijkheid te bieden de kosten hiervan te dekken uit de middelen voor het Nationaal lsolatiepro-gramma,"
554,2023D43196,"verzoekt de regering te onderzoeken of particuliere verhuurders kunnen worden vrijgesteld van de regulering van de middenhuur en de Kamer over de uitkomsten te informeren,"
555,2023D43182,"verzoekt de regering om als voorwaarde van bouwsubsidies, impulsen en woonafspraken te waarborgen dat een aanzienlijk deel van de op te leveren woningen een verkoopprijs heeft van onder de € 250.000,"
556,2023D43189,"verzoekt het kabinet de maximale huurverhoging te koppelen aan het laagste niveau van inflatie of loonontwikkeling,"
557,2023D43192,"verzoekt de regering de inwerkingtreding van de Omgevingswet opnieuw uit te stellen en te onderzoeken hoe de Omgevingswet ordentelijk kan worden ingetrokken,"
558,2023D43179,verzoekt de regering de huren in de corporatiesector te bevriezen en de woningcorporaties te compenseren;
559,2023D43190,"verzoekt de regering te onderzoeken of en op welke wijze een tijdelijke verlaging van het btw-tarief voor de bouw van sociale en middeldure koop-en huurwoningen door institutionele beleggers en woningcorpo-raties kan worden vormgegeven, zonder dat dit een prijsopdrijvend effect heeft,"
560,2023D43183,"verzoekt de regering om hamsterhuurkoop door woningbouwcorporaties mogelijk te maken,"
561,2023D43186,"verzoekt het kabinet actie te ondernemen om deze verkoop sterk terug te brengen, zodat de sociale huurwoningvoorraad niet verder wordt uitgehold,"
562,2023D43193,"spreekt uit dat een «straatje erbij» alleen kan als dit de natuur niet schaadt, maar er juist ruimte wordt gemaakt om natuur te herstellen en ontwikkelen,"
563,2023D43194,"verzoekt de regering , mits uit het in gang gezette onderzoek geen onoverkomelijke bezwaren ten aanzien van de volksgezondheid naar voren komen, het Drinkwaterbesluit aan te passen, zodat niet alleen op het dak opgevangen regenwater als huishoudwater kan worden gebruikt, en tevens mogelijk te maken dat huishoudwater voor meer toepassingen dan toiletspoeling gebruikt kan worden, onder borging van de volksgezondheid,"
564,2023D43185,"verzoekt het kabinet een premie in te voeren op extra bouwvergunningen van gemeenten,"
565,2023D43171,"verzoekt de regering de sociale huurprijzen te verlagen,"
566,2023D43319,"verzoekt de regering samen met de eilanden te verkennen of men meerwaarde ziet in het opstellen van een Koninkrijkscanon en indien dit het geval is in gezamenlijkheid daartoe over te gaan,"
567,2023D43318,"verzoekt de regering voor het jaarverslag 2023 een voorstel naar de Kamer te zenden over hoe de coördinerende rol/regierol van BZK wordt versterkt,"
568,2023D43173,"verzoekt de regering géén voorrang meer te geven aan statushouders bij de toewijzing van woonruimte,"
569,2023D43176,"verzoekt de regering om met Aedes afspraken te maken om sloop alleen toe te staan met instemming van 70% van de huurders en deze afspraken in wet- en regelgeving vast te leggen,"
570,2023D43177,"verzoekt de regering pas op de plaats te laten maken met de verkoop van sociale huurwoningen door woningcorporaties,"
571,2023D43178,"verzoekt de regering te bezien hoe een opkoopfonds bijvoorbeeld samen met woningcorporaties, coöperaties en gemeenten in het leven geroepen kan worden,"
572,2023D43316,"verzoekt de regering in gesprek te gaan met de Nationale Jeugdraad over de wijze waarop een jongerenvertegenwoordiger Caribische Zaken kan worden aangesteld, en hier de Kamer voor het eerste kwartaal van 2024 over te informeren;"
573,2023D43172,"verzoekt de regering de sociale huurprijzen niet te verhogen,"
574,2023D43174,"verzoekt de regering voorrang te geven aan de Nederlanders bij de toewijzing van woonruimte,"
575,2023D43317,"verzoekt de regering bij het uitwerken van rapport Sociaal minimum BES dit mee te nemen in de oplossingen,"
576,2023D43320,verzoekt de regering om voldoende middelen beschikbaar te stellen om voor de BES-eilanden tot een klimaatadaptatieplan te komen; verzoekt de regering tevens in kaart te brengen welke internationale klimaatfinanciering toegankelijk is voor het Caribisch deel van het Koninkrijk en tijdens de COP28 en op andere relevante momenten te ijveren voor meer fondsen voor eilandstaten
577,2023D43091,"verzoekt het kabinet voedselzekerheid en de productie van voedsel van hoger belang te beschouwen dan een «ambitieus Europees klimaat-beleid»; verzoekt het kabinet om het bovenstaande op de Landbouw- en Visse-rijraad van 23 en 24 oktober 2023 uit te spreken,"
578,2023D43308,"verzoekt de regering te voorzien in een wijziging van het Burgerlijk Wetboek om te zorgen dat alle weeskinderen van 18 jaar en ouder het recht krijgen om een bepaalde tijd, bijvoorbeeld twee jaar, in de ouderlijke huurwoning te blijven wonen en niet uitgezet kunnen worden, ook wanneer de overleden ouder(s) bij een particuliere verhuurder huurde(n), en de Kamer hier voor de zomer over te informeren,"
579,2023D43096,"verzoekt de regering zich ervoor in te zetten dat planten resistent maken tegen bepaalde soorten landbouwgif niet wordt toegestaan,"
580,2023D43100,"verzoekt de regering met ketenpartijen in gesprek te gaan over hoe ervoor gezorgd kan worden dat ook niet perfect voedsel tegen een fatsoenlijke prijs afgenomen en verkocht kan worden, en de Kamer hierover te informeren,"
581,2023D43293,"verzoekt de regering in gesprek te gaan met deze samenwerking om eenmalig dit onderzoek te verbreden naar gemeenteniveau en na te denken hoe ze daarin te faciliteren,"
582,2023D43041,"verzoekt de Minister om een voorkeursscenario uit te werken voor ouders die langdurig hebben gezorgd voor hun kind met een handicap, en dit begin 2024 met de Tweede Kamer te delen,"
583,2023D42894,"verzoekt de regering om in kaart te brengen wat de wettelijke, technische en financiële obstakels zijn die in de weg staan van een mogelijke archivering van het .nl-domein en hoe deze te overkomen, en de Kamer hierover te informeren in 2024,"
584,2023D43012,"spreekt uit dat jongeren tijdens de formatie aan de formatietafel zullen worden uitgenodigd om met hen te spreken over de gevolgen van beleidsvoornemens voor de toekomstige generaties,"
585,2023D42879,verzoekt  de regering tenminste vast te houden aan het deel van de verordening dat ziet op de verplichting aan communicatiediensten om bekend materiaal van online kinderporno te detecteren
586,2023D43013,"spreekt uit dat het wenselijk is dat de Koning in de verkenningsfase de gesprekken voert die moeten leiden tot een gemotiveerde voordracht voor het aanwijzen van een informateur; verzoekt de Kamervoorzitter alles te doen wat nodig is om de verken-ningsfase na de verkiezingen van 22 november 2023 op deze manier te laten verlopen; verzoekt het Presidium om vervolgens met een voorstel te komen om deze inrichting van de verkenningsfase te verankeren in het Reglement van Orde,"
587,2023D43014,"spreekt uit dat het formatieproces uit drie aparte fasen bestaat, die duidelijk van elkaar moeten worden gescheiden: •de verkenningsfase, waarin op basis van getalsmatige mogelijkheden en een eerste inhoudelijke richting wordt verkend welke partijen met elkaar kunnen gaan informeren; •de informatiefase; •de formatiefase; spreekt uit dat de grootste fractie het initiële voordrachtrecht voor de aanstelling van de verkenner heeft, met inachtneming van het advies van de evaluatiecommissie dat dit een persoon is met afstand tot de dagelijkse politiek en aanstelling plaatsvindt op basis van zo breed mogelijk draagvlak in de vergadering van lijsttrekkers dan wel beoogd fractievoorzitters; spreekt uit dat in de opdracht aan de informateur heldere termijnen, bijvoorbeeld zes tot acht weken, worden vastgelegd over wanneer de Kamer wordt geïnformeerd en over de duur van de informatieopdracht, waarna een debat met de informateur in de Kamer volgt en de Kamer een nieuwe opdracht formuleert voor het vervolg van de informatie; spreekt uit dat de Griffier verantwoordelijk is voor de inrichting van het bureau ondersteuning kabinetsformatie, waarbij het Ministerie van     kst-35788-229ISSN 0921 - 7371’s-Gravenhage 2023Tweede Kamer, vergaderjaar 2023–2024, 35 788, nr. 2291 /n Algemene Zaken op detacheringsbasis aan de Tweede Kamer inhoudelijke ondersteuning voor het formatieproces levert; spreekt voorts uit dat de informatie van maatschappelijke partijen en notities met inhoudelijke informatie vanuit ministeries die aan de (in)formerende partijen worden gestuurd en de geaccordeerde gespreks-verslagen tezamen met het eindverslag van de verkenner/(in)formateur openbaar worden gemaakt en dat de overige gespreksverslagen en notities niet openbaar worden gemaakt,"
588,2023D43011,"spreekt uit dat het wenselijk is om als Tweede Kamer een openbare hoorzitting met kandidaat-bewindspersonen te organiseren voordat zij benoemd worden,"
589,2023D43060,"verzoekt de regering om in overleg met de distributeurs te zoeken naar een vaste zenderpositie voor de regio die het beste past in de huidige afspraken met de andere partijen in de keten,"
590,2023D43047,"verzoekt de regering per direct te stoppen met het weggeven van ons koloniale erfgoed,"
591,2023D42878,"verzoekt de regering niet akkoord te gaan met enig voorstel dat een detectiebevel op basis van client-side scanning bevat,"
592,2023D43051,"verzoekt de regering de restauratieopgave voor groot iconisch erfgoed, vergelijkbaar met de kanjerregeling, vooruitlopend aan de herziening van het financieringsstelsel monumenten voor de Voorjaarsnota aan de Kamer te zenden,"
593,2023D43048,"verzoekt de regering bij de vernieuwing van het financieringsstelsel voor monumentenzorg uitdrukkelijk het perspectief van vrijwilligers te betrekken,"
594,2023D43067,"verzoekt de regering te onderzoeken of gekomen moet worden tot een reddingsplan voor de maritieme archeologie, en de Kamer hier in 2024 over te informeren,"
595,2023D43045,"verzoekt de regering met gemeenten een plan te maken om te borgen dat alle gemeenten in de toekomst een (regio)archeoloog hebben evenals erfgoedcapaciteit, en de Kamer hierover in 2024 te informeren,"
596,2023D43017,"verzoekt de regering om te onderzoeken hoe er landelijke tarieven vast zouden kunnen worden gesteld die voor zorgaanbieders de kosten dekken en waarvan enkel kan worden afgeweken op basis van duidelijke criteria zoals patiëntenpopulatie en innovatieve zorg,"
597,2023D43015,"verzoekt de regering de vrije artsenkeuze (artikel 13 van de Zorgverzeke-ringswet) te handhaven en geen klassenzorg aan te wakkeren voor mensen met een lager inkomen door de tarieven voor niet-gecontracteerde ggz- en wijkverplegingaanbieders te verlagen,"
598,2023D43043,"verzoekt de regering de aanbevelingen van de Raad voor Cultuur over te nemen en te komen tot: •een onderzoek naar publieksbereik van archeologie; •een structurele landelijke voorziening voor publieksbereik en participa-tie; •ondersteuning voor vrijwilligersorganisaties; en publiek en participatie toe te voegen aan de verplichtingen van een certificaathouder,"
599,2023D43018,"verzoekt de regering in kaart te brengen in hoeverre cowboygedrag in de zorg via zorgcontractering een halt toe kan worden geroepen en verzoekt daarbij tevens in navolging van de uitvoering van de motie-Van den Berg/Tielen (29 689, nr. 1207) met een voorstel te komen over hoe de positie van kleine zorgaanbieders in de contractonderhandelingen verbeterd kan worden,"
600,2023D43028,"verzoekt de regering te onderzoeken in hoeverre bij het Ministerie van VWS zelf en (publiek gefinancierde) zorgorganisaties een (jaarlijkse) 360 gradenbeoordeling voor het hoger kader (bijvoorbeeld vanaf schaal 15) binnen de organisatie een vast onderdeel zou kunnen worden van het personeelsbeleid, en de resultaten van dit onderzoek te sturen naar de Tweede Kamer,"
601,2023D43029,"verzoekt de regering om een gedragsinterventie in de vorm van een verplicht anti-agressieprogramma voor mensen die agressief gedrag tegen zorgmedewerkers vertonen, verder uit te werken,"
602,2023D43016,"verzoekt de regering te bewerkstelligen dat nieuwe zorgaanbieders reeds in het eerste jaar gecontracteerd kunnen worden,"
603,2023D43022,"verzoekt de regering om Intravacc in publieke handen te houden,"
604,2023D43023,"verzoekt de regering om Intravacc voldoende te financieren, zodat er een fatsoenlijke loonstijging voor het personeel mogelijk is en hierover in gesprek te gaan met Intravacc en de vakbonden,"
605,2023D43071,"verzoekt de regering de aanbevelingen van de commissie GREVIO op dit vlak over te nemen en tot uitvoering te brengen,"
606,2023D43021,"verzoekt de regering om voor de zorg een norm in te stellen dat maximaal 10% van het personeel bestaat uit externe inhuur,"
607,2023D43027,"verzoekt de regering er bij (publiek gefinancierde) zorgorganisaties op aan te dringen hun medewerkers met ideeën te laten komen voor het verbeteren van hun zorgorganisatie, waarbij de zorgorganisatie zichzelf verplicht de ontvangen suggestie over te nemen of gemotiveerd af te wijzen en van zowel de suggesties die zijn binnengekomen als de motivaties die zijn gegeven voor het afwijzen van suggesties jaarlijks in een openbaar verslag melding te maken,"
608,2023D43069,"verzoekt de regering om in samenspraak met het OM en de keten in kaart te brengen in hoeverre het klachtvereiste wel of niet bijdraagt aan de bescherming van slachtoffers van stalking, welke (wets)aanpassingen naar aanleiding daarvan gewenst zijn, en de Kamer daarover te informeren,"
609,2023D42886,"verzoekt de regering deze integrale visie meer centraal te zetten in de appreciatie van Al, de focus te verleggen naar de risico’s van de toepas-singen in plaats van de technologie en modellen als zodanig, en tevens in te zetten op een nauwe definitie van GPAI in de Al Act en een goede informatievoorziening in de waardeketen,"
610,2023D43033,"verzoekt het kabinet met het oog hierop een overgangsregeling te ontwerpen voor stapsgewijze afbouw van het pgb, en de Kamer hierover te informeren,"
